entry_ts,market,side,qty,entry_trigger_cents,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_notional_dollars,exit_ts,exit_trigger_cents,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_notional_dollars,outcome,resolution_source,result,gross_pnl_dollars,gross_pnl_percent,market_status,market_result,settlement_ts
2026-03-21 20:01:50,KXBTC15M-26MAR212015-15,no,20,90,90,,90,18.0,2026-03-21 20:06:20,75,74,,74,14.8,exited_before_settlement,bot_exit_signal,,-3.2,-17.7778,,,
2026-03-21 20:24:49,KXBTC15M-26MAR212030-30,yes,20,90,90,,90,18.0,2026-03-21 20:25:22,77,76,,76,15.2,exited_before_settlement,bot_exit_signal,,-2.8,-15.5556,,,
2026-03-21 20:35:08,KXBTC15M-26MAR212045-45,yes,20,90,90,,90,18.0,,,,,,,win,kalshi_api,yes,2.0,11.1111,finalized,yes,2026-03-22T00:45:10.906592Z
2026-03-21 20:51:17,KXBTC15M-26MAR212100-00,no,20,90,90,,90,18.0,,,,,,,win,kalshi_api,no,2.0,11.1111,finalized,no,2026-03-22T01:00:10.860407Z
2026-03-21 21:23:47,KXBTC15M-26MAR212130-30,yes,20,90,90,,90,18.0,2026-03-21 21:26:02,78,76,,76,15.2,exited_before_settlement,bot_exit_signal,,-2.8,-15.5556,,,
2026-03-21 21:36:40,KXBTC15M-26MAR212145-45,no,20,90,90,,90,18.0,,,,,,,win,kalshi_api,no,2.0,11.1111,finalized,no,2026-03-22T01:45:10.863966Z
2026-03-21 21:52:01,KXBTC15M-26MAR212200-00,yes,20,90,90,,90,18.0,,,,,,,win,kalshi_api,yes,2.0,11.1111,finalized,yes,2026-03-22T02:00:10.907728Z
2026-03-21 22:12:29,KXBTC15M-26MAR212215-15,yes,20,90,90,,90,18.0,,,,,,,win,kalshi_api,yes,2.0,11.1111,finalized,yes,2026-03-22T02:15:10.989356Z
2026-03-21 22:26:06,KXBTC15M-26MAR212230-30,yes,20,90,90,,90,18.0,2026-03-21 22:26:39,77,72,,72,14.4,exited_before_settlement,bot_exit_signal,,-3.6,-20.0,,,
2026-03-21 22:37:06,KXBTC15M-26MAR212245-45,no,20,90,90,,90,18.0,,,,,,,win,kalshi_api,no,2.0,11.1111,finalized,no,2026-03-22T02:45:10.921224Z
2026-03-21 22:54:13,KXBTC15M-26MAR212300-00,yes,20,90,90,,90,18.0,,,,,,,win,kalshi_api,yes,2.0,11.1111,finalized,yes,2026-03-22T03:00:10.869695Z
2026-03-22 12:25:04,KXBTC15M-26MAR221230-30,no,20,90,90,,90,18.0,,,,,,,win,kalshi_api,no,2.0,11.1111,finalized,no,2026-03-22T16:30:10.859858Z
2026-03-22 12:43:53,KXBTC15M-26MAR221245-45,yes,20,91,91,,91,18.2,,,,,,,win,kalshi_api,yes,1.8,9.8901,determined,yes,
2026-03-22 12:50:16,KXBTC15M-26MAR221300-00,yes,20,90,90,,90,18.0,,,,,,,win,kalshi_api,yes,2.0,11.1111,finalized,yes,2026-03-22T17:00:11.107416Z
2026-03-22 13:25:07,KXBTC15M-26MAR221330-30,no,20,90,90,,90,18.0,2026-03-22 13:26:44,75,74,,74,14.8,exited_before_settlement,execution_telemetry_exit,,-3.2,-17.7778,,,
2026-03-22 13:37:16,KXBTC15M-26MAR221345-45,no,20,90,90,,90,18.0,,,,,,,win,kalshi_api,no,2.0,11.1111,finalized,no,2026-03-22T17:45:10.905048Z
2026-03-22 13:57:04,KXBTC15M-26MAR221400-00,yes,20,90,90,,90,18.0,2026-03-22 13:57:49,77,76,,76,15.2,exited_before_settlement,execution_telemetry_exit,,-2.8,-15.5556,,,
2026-03-22 14:25:06,KXBTC15M-26MAR221430-30,no,20,90,90,,90,18.0,2026-03-22 14:26:00,77,76,,76,15.2,exited_before_settlement,execution_telemetry_exit,,-2.8,-15.5556,,,
2026-03-22 14:34:53,KXBTC15M-26MAR221445-45,no,20,90,90,,90,18.0,,,,,,,win,kalshi_api,no,2.0,11.1111,finalized,no,2026-03-22T18:45:11.004883Z
2026-03-22 14:53:39,KXBTC15M-26MAR221500-00,yes,20,90,90,,90,18.0,2026-03-22 14:54:57,78,76,,76,15.2,exited_before_settlement,execution_telemetry_exit,,-2.8,-15.5556,,,
2026-03-22 15:04:04,KXBTC15M-26MAR221515-15,no,20,90,90,,90,18.0,2026-03-22 15:06:00,78,77,,77,15.4,exited_before_settlement,execution_telemetry_exit,,-2.6,-14.4444,,,
2026-03-22 15:28:55,KXBTC15M-26MAR221530-30,no,20,93,93,,93,18.6,,,,,,,win,kalshi_api,no,1.4,7.5269,finalized,no,2026-03-22T19:30:10.850382Z
2026-03-22 15:47:53,KXBTC15M-26MAR221600-00,no,20,91,91,,91,18.2,,,,,,,win,kalshi_api,no,1.8,9.8901,finalized,no,2026-03-22T20:00:10.81413Z
2026-03-22 16:05:18,KXBTC15M-26MAR221615-15,yes,20,90,90,,90,18.0,,,,,,,win,kalshi_api,yes,2.0,11.1111,finalized,yes,2026-03-22T20:15:10.852577Z
2026-03-22 16:20:59,KXBTC15M-26MAR221630-30,yes,20,90,90,,90,18.0,2026-03-22 16:25:33,71,70,,70,14.0,exited_before_settlement,execution_telemetry_exit,,-4.0,-22.2222,,,
2026-03-22 16:36:20,KXBTC15M-26MAR221645-45,no,20,90,90,,90,18.0,2026-03-22 16:37:10,78,76,,76,15.2,exited_before_settlement,execution_telemetry_exit,,-2.8,-15.5556,,,
2026-03-22 16:51:07,KXBTC15M-26MAR221700-00,no,20,90,90,,90,18.0,,,,,,,win,kalshi_api,no,2.0,11.1111,finalized,no,2026-03-22T21:00:10.854939Z
2026-03-22 17:05:13,KXBTC15M-26MAR221715-15,no,20,91,91,,91,18.2,,,,,,,win,kalshi_api,no,1.8,9.8901,finalized,no,2026-03-22T21:15:10.850862Z
