mode,family,label,score_feature,min_score,ask_max,require_book_agreement,observed_pass,target_pass,all_rows,all_wins,all_accuracy,all_retention,all_total_rows,train_rows,train_wins,train_accuracy,train_retention,train_total_rows,validation_rows,validation_wins,validation_accuracy,validation_retention,validation_total_rows,holdout_rows,holdout_wins,holdout_accuracy,holdout_retention,holdout_total_rows
two_side_minute_bucket,mean_book_rv15,score_mean_book_rv15>=0.85; ask<=95,score_mean_book_rv15,0.85,95.0,False,False,False,725,681,0.9393103448275862,0.13105567606652205,5532,435,414,0.9517241379310345,0.13106357336547153,3319,146,137,0.9383561643835616,0.13200723327305605,1106,144,130,0.9027777777777778,0.13008130081300814,1107
two_side_minute_bucket,brownian_rv15,brownian_p_rv_15m>=0.85; ask<=95,brownian_p_rv_15m,0.85,95.0,False,False,False,617,574,0.9303079416531604,0.11153289949385393,5532,384,362,0.9427083333333334,0.11569749924676108,3319,123,113,0.9186991869918699,0.1112115732368897,1106,110,99,0.9,0.0993676603432701,1107
two_side_minute_bucket,brownian_rv15_book_agree,brownian_p_rv_15m>=0.85; book agrees; ask<=95,brownian_p_rv_15m,0.85,95.0,True,False,False,617,574,0.9303079416531604,0.11153289949385393,5532,384,362,0.9427083333333334,0.11569749924676108,3319,123,113,0.9186991869918699,0.1112115732368897,1106,110,99,0.9,0.0993676603432701,1107
two_side_minute_bucket,min_book_rv15,score_min_book_rv15>=0.90; ask<=95,score_min_book_rv15,0.9,95.0,False,False,False,249,233,0.9357429718875502,0.045010845986984814,5532,159,152,0.9559748427672956,0.047905995781862006,3319,50,45,0.9,0.045207956600361664,1106,40,36,0.9,0.036133694670280034,1107
two_side_minute_bucket,book,book_p_side>=0.90; ask<=95,book_p_side,0.9,95.0,False,False,False,517,487,0.941972920696325,0.09345625451916124,5532,295,281,0.9525423728813559,0.08888219343175656,3319,114,109,0.956140350877193,0.10307414104882459,1106,108,97,0.8981481481481481,0.0975609756097561,1107
two_side_minute_bucket,min_book_rv15,score_min_book_rv15>=0.85; ask<=95,score_min_book_rv15,0.85,95.0,False,False,False,534,504,0.9438202247191011,0.09652928416485901,5532,323,310,0.9597523219814241,0.09731846941849955,3319,114,107,0.9385964912280702,0.10307414104882459,1106,97,87,0.8969072164948454,0.08762420957542909,1107
two_side_minute_bucket,book,book_p_side>=0.85; ask<=95,book_p_side,0.85,95.0,False,False,False,876,820,0.9360730593607306,0.15835140997830802,5532,513,482,0.9395711500974658,0.15456462789996986,3319,190,183,0.9631578947368421,0.1717902350813743,1106,173,155,0.8959537572254336,0.15627822944896116,1107
two_side_minute_bucket,brownian_rv30_book_agree,brownian_p_rv_30m>=0.65; book agrees; ask<=100,brownian_p_rv_30m,0.65,100.0,True,False,False,3362,3012,0.8958953004164188,0.6077368040491685,5532,1980,1768,0.8929292929292929,0.5965652304911118,3319,710,641,0.9028169014084507,0.6419529837251357,1106,672,603,0.8973214285714286,0.6070460704607046,1107
two_side_minute_bucket,book,book_p_side>=0.85; ask<=90,book_p_side,0.85,90.0,False,False,False,373,347,0.9302949061662198,0.06742588575560376,5532,229,212,0.925764192139738,0.06899668574871949,3319,77,75,0.974025974025974,0.06962025316455696,1106,67,60,0.8955223880597015,0.06052393857271906,1107
two_side_minute_bucket,brownian_rv30,brownian_p_rv_30m>=0.65; ask<=100,brownian_p_rv_30m,0.65,100.0,False,False,False,3369,3015,0.8949243098842387,0.6090021691973969,5532,1985,1770,0.8916876574307305,0.5980717083458873,3319,710,641,0.9028169014084507,0.6419529837251357,1106,674,604,0.8961424332344213,0.6088527551942186,1107
two_side_minute_bucket,brownian_rv15,brownian_p_rv_15m>=0.90; ask<=95,brownian_p_rv_15m,0.9,95.0,False,False,False,351,328,0.9344729344729344,0.06344902386117136,5532,232,221,0.9525862068965517,0.06990057246158482,3319,62,56,0.9032258064516129,0.05605786618444846,1106,57,51,0.8947368421052632,0.051490514905149054,1107
