mode,split,model,horizon_seconds,posterior_temperature,side_rows,opportunities,brier,logloss,ece10,side_choice_wins,side_choice_accuracy
two_side_minute_bucket,train,v34_h140_t098,140,0.98,5876,2938,0.15247778540592424,0.45577574434645735,0.018244767479691067,2248,0.765146358066712
two_side_minute_bucket,validation,v34_h140_t098,140,0.98,1964,982,0.13731249840809065,0.40990762148294724,0.009383552335313801,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h140_t098,140,0.98,1956,978,0.15034126104235807,0.44656620304011985,0.011655918366538549,745,0.7617586912065439
two_side_minute_bucket,all,v34_h140_t100,140,1.0,9796,4898,0.1490574967941061,0.44469051375319363,0.015454937368744755,3761,0.7678644344630461
two_side_minute_bucket,train,v34_h140_t100,140,1.0,5876,2938,0.1525555160511858,0.4557954597506838,0.020102332124825366,2248,0.765146358066712
two_side_minute_bucket,validation,v34_h140_t100,140,1.0,1964,982,0.13727139215550727,0.4096685781752632,0.009976678781231115,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h140_t100,140,1.0,1956,978,0.1503834417611856,0.4464954313369375,0.012602260884045452,745,0.7617586912065439
two_side_minute_bucket,all,v34_h140_t102,140,1.02,9796,4898,0.14911550258808223,0.44470323506165194,0.016272320083667347,3761,0.7678644344630461
two_side_minute_bucket,train,v34_h140_t102,140,1.02,5876,2938,0.15264373800907136,0.4558751680178095,0.02138232685843366,2248,0.765146358066712
two_side_minute_bucket,validation,v34_h140_t102,140,1.02,1964,982,0.137244039901529,0.4095049888004241,0.00958191960995083,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h140_t102,140,1.02,1956,978,0.15043638264056594,0.44648394958448945,0.012338617496447797,745,0.7617586912065439
two_side_minute_bucket,all,v34_h150_t098,150,0.98,9796,4898,0.14893852705082547,0.44466092171428395,0.01420954842006773,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h150_t098,150,0.98,5876,2938,0.15239729419541473,0.4558071659807315,0.01872367690336495,2248,0.765146358066712
two_side_minute_bucket,validation,v34_h150_t098,150,0.98,1964,982,0.13727315657315003,0.4096429697862866,0.011273538232423667,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h150_t098,150,0.98,1956,978,0.1502611609345412,0.4463377756391003,0.015884440954212722,744,0.7607361963190185
two_side_minute_bucket,all,v34_h150_t100,150,1.0,9796,4898,0.14897617299113086,0.4445602632013781,0.014494734884862854,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h150_t100,150,1.0,5876,2938,0.15246586351934424,0.45577221078913166,0.019156051021793623,2248,0.765146358066712
two_side_minute_bucket,validation,v34_h150_t100,150,1.0,1964,982,0.13722304417113296,0.4093603154807943,0.010117933566402585,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h150_t100,150,1.0,1956,978,0.15029402752011561,0.4462224785886922,0.012119211327911134,744,0.7607361963190185
two_side_minute_bucket,all,v34_h150_t102,150,1.02,9796,4898,0.14902512836114787,0.4445243462411638,0.014615209832763695,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h150_t102,150,1.02,5876,2938,0.15254502641913903,0.4557992512868646,0.020850124281982966,2248,0.765146358066712
two_side_minute_bucket,validation,v34_h150_t102,150,1.02,1964,982,0.13718678034189316,0.4091543677366657,0.008921443131392821,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h150_t102,150,1.02,1956,978,0.15033780449665932,0.44616815796626436,0.01249000057488091,744,0.7607361963190185
