model,min_edge_cents,cost_cents,block_kind,block,denominator_markets,selected_markets,coverage,wins,losses,gross_net_cents,net_after_cost_cents
book_v31_time_platt,1.0,0.0,block20,2,17,17,1.0,13,4,232.0,232.0
book_v31_time_platt,1.0,0.0,block20,3,16,16,1.0,10,6,4.0,4.0
book_v31_time_platt,1.0,0.0,block20,4,17,17,1.0,16,1,514.0,514.0
book_v31_time_platt,1.0,0.0,block20,5,16,16,1.0,9,7,-96.0,-96.0
book_v31_time_platt,1.0,0.0,block20,6,17,17,1.0,10,7,-70.0,-70.0
book_v31_time_platt,1.0,0.0,block20,7,16,16,1.0,10,6,-50.0,-50.0
book_v31_time_platt,1.0,0.0,block20,8,17,17,1.0,11,6,20.0,20.0
book_v31_time_platt,1.0,0.0,block20,9,16,16,1.0,12,4,218.0,218.0
book_v31_time_platt,1.0,0.0,block20,10,16,16,1.0,11,5,97.0,97.0
book_v31_time_platt,1.0,0.0,block20,11,17,16,0.9411764705882353,14,2,364.0,364.0
book_v31_time_platt,1.0,0.0,block20,12,16,16,1.0,9,7,-150.0,-150.0
book_v31_time_platt,1.0,0.0,block20,13,17,17,1.0,13,4,220.0,220.0
book_v31_time_platt,1.0,0.0,block20,14,16,16,1.0,11,5,93.0,93.0
book_v31_time_platt,1.0,0.0,block20,15,17,17,1.0,12,5,71.0,71.0
book_v31_time_platt,1.0,0.0,block20,16,16,16,1.0,14,2,364.0,364.0
book_v31_time_platt,1.0,0.0,block20,17,17,17,1.0,9,8,-174.0,-174.0
book_v31_time_platt,1.0,0.0,block20,18,16,16,1.0,10,6,-1.0,-1.0
book_v31_time_platt,1.0,0.0,block20,19,17,17,1.0,10,7,-53.0,-53.0
book_v31_time_platt,1.0,1.0,block10,0,33,33,1.0,21,12,50.0,17.0
book_v31_time_platt,1.0,1.0,block10,1,33,33,1.0,23,10,236.0,203.0
book_v31_time_platt,1.0,1.0,block10,2,33,33,1.0,25,8,418.0,385.0
book_v31_time_platt,1.0,1.0,block10,3,33,33,1.0,20,13,-120.0,-153.0
