lock_name,rule,kept,base,retention,wins,losses,accuracy,net_pnl_cents,net_delta_vs_base,diagnostic_only
impulse_reversal_book_margin_fade,book>=0.65,9,58,0.15517241379310345,8,1,0.8888888888888888,163.0,80.0,True
impulse_reversal_book_margin_fade,signal_score>=0.65,9,58,0.15517241379310345,8,1,0.8888888888888888,163.0,80.0,True
book_margin_gap015,touch_loss<=0.85,44,89,0.4943820224719101,32,12,0.7272727272727273,162.0,53.0,True
book_margin,touch_loss<=0.75,23,105,0.21904761904761905,18,5,0.782608695652174,160.0,25.0,True
book_refmargin_score_switch,signal_score>=0.70,14,78,0.1794871794871795,13,1,0.9285714285714286,158.0,273.0,True
kinetic_combo_price_guard,hazard>=0.45,27,100,0.27,20,7,0.7407407407407407,157.0,-35.0,True
kinetic_path_confirm,ask<=75,70,118,0.5932203389830508,50,20,0.7142857142857143,156.0,163.0,True
kinetic_path_confirm,adverse15<=10,86,118,0.7288135593220338,66,20,0.7674418604651163,153.0,160.0,True
kinetic_combo_price_guard,ask<=65,59,100,0.59,38,21,0.6440677966101694,153.0,-39.0,True
impulse_reversal_book_margin_fade,impulse_over_margin<=0,32,58,0.5517241379310345,17,15,0.53125,153.0,70.0,True
v2_wait_score_min60_brownian70_early,signal_score>=0.70,26,97,0.26804123711340205,22,4,0.8461538461538461,153.0,260.0,True
impulse_reversal_book_margin_fade,adverse15<=10,30,58,0.5172413793103449,19,11,0.6333333333333333,151.0,68.0,True
hazard_fallback_score60,ask<=70,35,64,0.546875,25,10,0.7142857142857143,149.0,165.0,True
score_min60_gap020,signal_score>=0.70,19,91,0.2087912087912088,17,2,0.8947368421052632,148.0,328.0,True
kinetic_path_confirm,ask<=65,25,118,0.211864406779661,17,8,0.68,144.0,151.0,True
book_margin_gap015,blend>=0.60,13,89,0.14606741573033707,11,2,0.8461538461538461,140.0,31.0,True
