source,market,side,reason,p_side,outcome,brier,bucket,actionable,edge_cents,ask_cents,seconds_to_close,sigma_t_dollars,recross_hazard_score,h6_recross_hazard_high,gross_cents
rejected_actionable,KXBTC15M-26MAY052145-45,no,p_below_floor,0.32421,0.0,0.1051121241,00_50,True,-4.578992,33,644.638,102.403572,0.5655030933222616,True,-66
rejected_actionable,KXBTC15M-26MAY052145-45,yes,p_below_floor,0.67579,1.0,0.1051121241,60_70,True,-4.921008,69,644.638,102.403572,0.5655030933222616,True,62
rejected_actionable,KXBTC15M-26MAY052145-45,yes,edge_below_floor,0.865417,1.0,0.018112583889000004,85_90,True,0.541718,83,579.745,97.20063,0.30414059562596774,True,34
rejected_actionable,KXBTC15M-26MAY052145-45,yes,ask_too_high,0.901387,1.0,0.009724523768999991,90_95,True,-7.361318,95,198.705,56.612233,0.08692428569139592,False,10
entry,KXBTC15M-26MAY052200-00,yes,approved_entry,0.850777,1.0,0.022267503728999997,85_90,True,2.577696,79,731.636,108.207066,0.40434357182519426,True,12
rejected_actionable,KXBTC15M-26MAY052200-00,no,p_below_floor,0.551743,0.0,0.304420338049,50_60,True,-0.825672,52,823.452,114.680847,0.9878001185792811,True,-104
rejected_actionable,KXBTC15M-26MAY052200-00,yes,p_below_floor,0.448257,1.0,0.304420338049,00_50,True,-9.174328,50,823.452,114.680847,0.9878001185792811,True,100
rejected_actionable,KXBTC15M-26MAY052200-00,yes,ask_too_high,0.918347,1.0,0.006667212408999996,90_95,True,-4.66532,94,471.021,92.079648,0.19785689017674613,False,12
entry,KXBTC15M-26MAY052215-15,no,approved_entry,0.881293,1.0,0.014091351849000002,85_90,True,2.129313,83,803.948,121.574044,0.42803907980422096,True,-14
rejected_actionable,KXBTC15M-26MAY052215-15,no,p_below_floor,0.622299,1.0,0.14265804540099997,60_70,True,-16.270118,75,843.624,123.637311,0.9271251191620631,True,50
rejected_actionable,KXBTC15M-26MAY052215-15,no,edge_below_floor,0.881283,1.0,0.01409372608899999,85_90,True,1.128275,84,804.229,121.595299,0.42826280941465444,True,32
rejected_actionable,KXBTC15M-26MAY052215-15,no,ask_too_high,0.876098,1.0,0.015351705603999989,85_90,True,-7.890246,93,519.527,97.061327,0.2767996940108749,True,14
rejected_actionable,KXBTC15M-26MAY052215-15,yes,p_below_floor,0.377701,0.0,0.142658045401,00_50,True,8.270118,26,843.624,123.637311,0.9271251191620631,True,-52
rejected_actionable,KXBTC15M-26MAY052230-30,no,p_below_floor,0.518517,1.0,0.231825879289,50_60,True,-15.148341,63,813.248,118.233199,1.059653981546722,True,74
rejected_actionable,KXBTC15M-26MAY052230-30,no,ask_too_high,0.784262,1.0,0.04654288464399999,70_80,True,-20.073774,96,216.138,56.474129,0.14173695314955334,False,8
rejected_actionable,KXBTC15M-26MAY052230-30,yes,p_below_floor,0.481483,0.0,0.231825879289,00_50,True,6.148341,38,813.248,118.233199,1.059653981546722,True,-76
entry,KXBTC15M-26MAY052245-45,no,approved_entry,0.916618,0.0,0.840188557924,90_95,True,47.661822,40,379.717,73.612719,0.14133142354912012,False,-26
rejected_actionable,KXBTC15M-26MAY052245-45,no,p_below_floor,0.544587,0.0,0.29657500056900005,50_60,True,-10.541284,61,857.035,111.368863,0.9440525881918093,True,-122
rejected_actionable,KXBTC15M-26MAY052245-45,no,edge_below_floor,0.87407,0.0,0.7639983649000001,85_90,True,-3.592966,88,595.836,91.530223,0.27944812212377795,True,-176
rejected_actionable,KXBTC15M-26MAY052245-45,yes,p_below_floor,0.455413,1.0,0.29657500056899994,00_50,True,1.541284,40,857.035,111.368863,0.9440525881918093,True,120
rejected_actionable,KXBTC15M-26MAY052245-45,yes,edge_below_floor,0.880843,1.0,0.01419839064899999,85_90,True,-4.915676,90,227.983,57.53173,0.10534765337147539,False,20
rejected_actionable,KXBTC15M-26MAY052245-45,yes,ask_too_high,0.880922,1.0,0.014179570084000004,85_90,True,-5.907822,91,227.401,57.458301,0.10494314060882985,False,18
entry,KXBTC15M-26MAY052300-00,yes,approved_entry,0.918967,1.0,0.006566347089000004,90_95,True,3.896671,85,474.591,82.766141,0.17919533255862446,False,28
