model,split,bin,rows,mean_pred,realized,error
v28_avg45,holdout,"[0.750,0.800]",67,0.7764444413591869,0.7910447761194029,-0.01460033476021605
v28_avg45,holdout,"[0.800,0.850]",50,0.8250838184430404,0.9,-0.07491618155695967
v28_avg45,holdout,"[0.850,0.900]",45,0.8695670358630412,0.8888888888888888,-0.019321853025847657
v28_avg45,holdout,"[0.900,0.950]",67,0.9269511082357351,0.9104477611940298,0.016503347041705307
v28_avg45,holdout,"[0.950,0.975]",48,0.9652766046416502,0.9583333333333334,0.006943271308316845
v28_avg45,holdout,"[0.975,1.000]",184,0.9945950488162982,0.9945652173913043,2.9831424993909117e-05
v28_avg75,all,"[0.500,0.550]",836,0.5247608482042739,0.5287081339712919,-0.003947285767017972
v28_avg75,all,"[0.550,0.600]",617,0.5735607896533943,0.6045380875202593,-0.030977297866864983
v28_avg75,all,"[0.600,0.650]",455,0.6235741153240814,0.6703296703296703,-0.04675555500558892
v28_avg75,all,"[0.650,0.700]",349,0.6744400806398998,0.7077363896848138,-0.033296309044913985
v28_avg75,all,"[0.700,0.750]",281,0.7240945587556068,0.7117437722419929,0.012350786513613876
v28_avg75,all,"[0.750,0.800]",290,0.7766613620427677,0.7827586206896552,-0.006097258646887482
v28_avg75,all,"[0.800,0.850]",247,0.825697009313186,0.8704453441295547,-0.04474833481636864
v28_avg75,all,"[0.850,0.900]",310,0.8743484751795605,0.9161290322580645,-0.04178055707850403
v28_avg75,all,"[0.900,0.950]",370,0.9266884616450259,0.9351351351351351,-0.008446673490109191
v28_avg75,all,"[0.950,0.975]",273,0.9631903748265301,0.9413919413919414,0.02179843343458876
v28_avg75,all,"[0.975,1.000]",870,0.9933810077565054,0.9919540229885058,0.0014269847679996284
v28_avg75,train,"[0.500,0.550]",523,0.5247549879487708,0.5372848948374761,-0.012529906888705256
v28_avg75,train,"[0.550,0.600]",396,0.5733459790494437,0.601010101010101,-0.027664121960657262
v28_avg75,train,"[0.600,0.650]",281,0.6229834039387059,0.6868327402135231,-0.06384933627481726
v28_avg75,train,"[0.650,0.700]",215,0.6742413479757147,0.7209302325581395,-0.04668888458242482
