market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26APR261115-15,no,finalized,2026-04-26T15:15:09.871203Z,2026-04-26T15:15:00Z,2026-04-26T15:15:00Z,active,2026-04-26 11:00:39,2026-04-26 11:14:55,114,kalshi_api
KXBTC15M-26APR261130-30,no,finalized,2026-04-26T15:30:09.871091Z,2026-04-26T15:30:00Z,2026-04-26T15:30:00Z,active,2026-04-26 11:15:09,2026-04-26 11:30:12,122,kalshi_api
KXBTC15M-26APR261145-45,,,,2026-04-26T15:45:00Z,2026-04-26T15:45:00Z,active,2026-04-26 11:30:24,2026-04-26 11:45:14,120,api_error: 429 Client Error: Too Many Requests for url: https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26APR261145-45
KXBTC15M-26APR261200-00,no,finalized,2026-04-26T16:00:09.870889Z,2026-04-26T16:00:00Z,2026-04-26T16:00:00Z,active,2026-04-26 11:45:24,2026-04-26 12:00:15,120,kalshi_api
KXBTC15M-26APR261215-15,no,finalized,2026-04-26T16:15:09.872996Z,2026-04-26T16:15:00Z,2026-04-26T16:15:00Z,active,2026-04-26 12:00:24,2026-04-26 12:15:32,122,kalshi_api
KXBTC15M-26APR261230-30,yes,finalized,2026-04-26T16:30:09.871588Z,2026-04-26T16:30:00Z,2026-04-26T16:30:00Z,active,2026-04-26 12:15:39,2026-04-26 12:30:04,116,kalshi_api
KXBTC15M-26APR261245-45,no,finalized,2026-04-26T16:45:09.870251Z,2026-04-26T16:45:00Z,2026-04-26T16:45:00Z,active,2026-04-26 12:30:09,2026-04-26 12:45:21,122,kalshi_api
KXBTC15M-26APR261300-00,,,,2026-04-26T17:00:00Z,2026-04-26T17:00:00Z,active,2026-04-26 12:45:23,2026-04-26 13:00:23,120,api_error: 429 Client Error: Too Many Requests for url: https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26APR261300-00
KXBTC15M-26APR261315-15,yes,finalized,2026-04-26T17:15:09.866328Z,2026-04-26T17:15:00Z,2026-04-26T17:15:00Z,active,2026-04-26 13:00:24,2026-04-26 13:15:10,118,kalshi_api
KXBTC15M-26APR261330-30,yes,finalized,2026-04-26T17:30:09.868166Z,2026-04-26T17:30:00Z,2026-04-26T17:30:00Z,active,2026-04-26 13:15:24,2026-04-26 13:30:27,122,kalshi_api
KXBTC15M-26APR261345-45,no,finalized,2026-04-26T17:45:09.86906Z,2026-04-26T17:45:00Z,2026-04-26T17:45:00Z,active,2026-04-26 13:30:39,2026-04-26 13:44:59,116,kalshi_api
KXBTC15M-26APR261400-00,,active,,2026-04-26T18:00:00Z,2026-04-26T18:00:00Z,active,2026-04-26 13:45:09,2026-04-26 13:59:00,112,kalshi_api
