market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26APR060800-00,no,determined,,2026-04-06T12:00:00Z,2026-04-06T12:00:00Z,active,2026-04-06 07:45:38,2026-04-06 08:00:08,56,kalshi_api
KXBTC15M-26APR060815-15,no,finalized,2026-04-06T12:15:13.480668Z,2026-04-06T12:15:00Z,2026-04-06T12:15:00Z,active,2026-04-06 08:00:21,2026-04-06 08:15:10,60,kalshi_api
KXBTC15M-26APR060830-30,no,finalized,2026-04-06T12:30:13.482024Z,2026-04-06T12:30:00Z,2026-04-06T12:30:00Z,active,2026-04-06 08:15:21,2026-04-06 08:30:27,61,kalshi_api
KXBTC15M-26APR060845-45,yes,finalized,2026-04-06T12:45:13.683602Z,2026-04-06T12:45:00Z,2026-04-06T12:45:00Z,active,2026-04-06 08:30:36,2026-04-06 08:44:59,58,kalshi_api
KXBTC15M-26APR060900-00,no,finalized,2026-04-06T13:00:13.479252Z,2026-04-06T13:00:00Z,2026-04-06T13:00:00Z,active,2026-04-06 08:45:06,2026-04-06 09:00:16,61,kalshi_api
KXBTC15M-26APR060915-15,yes,finalized,2026-04-06T13:15:13.481252Z,2026-04-06T13:15:00Z,2026-04-06T13:15:00Z,active,2026-04-06 09:00:21,2026-04-06 09:15:18,60,kalshi_api
KXBTC15M-26APR060930-30,yes,finalized,2026-04-06T13:30:13.733346Z,2026-04-06T13:30:00Z,2026-04-06T13:30:00Z,active,2026-04-06 09:15:21,2026-04-06 09:30:15,59,kalshi_api
KXBTC15M-26APR060945-45,no,finalized,2026-04-06T13:45:13.485734Z,2026-04-06T13:45:00Z,2026-04-06T13:45:00Z,active,2026-04-06 09:30:20,2026-04-06 09:45:32,61,kalshi_api
KXBTC15M-26APR061000-00,yes,finalized,2026-04-06T14:00:13.484097Z,2026-04-06T14:00:00Z,2026-04-06T14:00:00Z,active,2026-04-06 09:45:36,2026-04-06 09:59:56,57,kalshi_api
KXBTC15M-26APR061015-15,no,finalized,2026-04-06T14:15:13.686898Z,2026-04-06T14:15:00Z,2026-04-06T14:15:00Z,active,2026-04-06 10:00:06,2026-04-06 10:15:13,61,kalshi_api
KXBTC15M-26APR061030-30,yes,finalized,2026-04-06T14:30:13.482241Z,2026-04-06T14:30:00Z,2026-04-06T14:30:00Z,active,2026-04-06 10:15:21,2026-04-06 10:30:14,60,kalshi_api
KXBTC15M-26APR061045-45,no,finalized,2026-04-06T14:45:13.484904Z,2026-04-06T14:45:00Z,2026-04-06T14:45:00Z,active,2026-04-06 10:30:21,2026-04-06 10:45:31,61,kalshi_api
KXBTC15M-26APR061100-00,yes,finalized,2026-04-06T15:00:13.481901Z,2026-04-06T15:00:00Z,2026-04-06T15:00:00Z,active,2026-04-06 10:45:36,2026-04-06 11:00:33,60,kalshi_api
KXBTC15M-26APR061115-15,yes,finalized,2026-04-06T15:15:23.487361Z,2026-04-06T15:15:00Z,2026-04-06T15:15:00Z,active,2026-04-06 11:00:36,2026-04-06 11:15:08,58,kalshi_api
KXBTC15M-26APR061130-30,yes,finalized,2026-04-06T15:30:13.490623Z,2026-04-06T15:30:00Z,2026-04-06T15:30:00Z,active,2026-04-06 11:15:21,2026-04-06 11:30:10,60,kalshi_api
KXBTC15M-26APR061145-45,yes,finalized,2026-04-06T15:45:13.487553Z,2026-04-06T15:45:00Z,2026-04-06T15:45:00Z,active,2026-04-06 11:30:20,2026-04-06 11:45:12,60,kalshi_api
KXBTC15M-26APR061200-00,yes,finalized,2026-04-06T16:00:13.482136Z,2026-04-06T16:00:00Z,2026-04-06T16:00:00Z,active,2026-04-06 11:45:21,2026-04-06 12:00:28,61,kalshi_api
KXBTC15M-26APR061215-15,yes,finalized,2026-04-06T16:15:13.489261Z,2026-04-06T16:15:00Z,2026-04-06T16:15:00Z,active,2026-04-06 12:00:35,2026-04-06 12:15:00,58,kalshi_api
KXBTC15M-26APR061230-30,no,finalized,2026-04-06T16:30:11.352876Z,2026-04-06T16:30:00Z,2026-04-06T16:30:00Z,active,2026-04-06 12:15:06,2026-04-06 12:30:17,61,kalshi_api
KXBTC15M-26APR061245-45,yes,finalized,2026-04-06T16:45:11.283143Z,2026-04-06T16:45:00Z,2026-04-06T16:45:00Z,active,2026-04-06 12:30:21,2026-04-06 12:45:19,60,kalshi_api
KXBTC15M-26APR061300-00,no,finalized,2026-04-06T17:00:11.2889Z,2026-04-06T17:00:00Z,2026-04-06T17:00:00Z,active,2026-04-06 12:45:21,2026-04-06 13:00:36,61,kalshi_api
KXBTC15M-26APR061315-15,no,finalized,2026-04-06T17:15:11.286379Z,2026-04-06T17:15:00Z,2026-04-06T17:15:00Z,active,2026-04-06 13:00:36,2026-04-06 13:14:52,57,kalshi_api
KXBTC15M-26APR061330-30,yes,finalized,2026-04-06T17:30:11.283694Z,2026-04-06T17:30:00Z,2026-04-06T17:30:00Z,active,2026-04-06 13:15:05,2026-04-06 13:30:09,61,kalshi_api
KXBTC15M-26APR061345-45,no,finalized,2026-04-06T17:45:11.300414Z,2026-04-06T17:45:00Z,2026-04-06T17:45:00Z,active,2026-04-06 13:30:21,2026-04-06 13:45:11,60,kalshi_api
KXBTC15M-26APR061400-00,yes,finalized,2026-04-06T18:00:11.342621Z,2026-04-06T18:00:00Z,2026-04-06T18:00:00Z,active,2026-04-06 13:45:21,2026-04-06 14:00:28,61,kalshi_api
KXBTC15M-26APR061415-15,yes,finalized,2026-04-06T18:15:11.289283Z,2026-04-06T18:15:00Z,2026-04-06T18:15:00Z,active,2026-04-06 14:00:36,2026-04-06 14:15:39,59,kalshi_api
KXBTC15M-26APR061430-30,yes,finalized,2026-04-06T18:30:11.293675Z,2026-04-06T18:30:00Z,2026-04-06T18:30:00Z,active,2026-04-06 14:15:41,2026-04-06 14:30:04,57,kalshi_api
KXBTC15M-26APR061445-45,no,finalized,2026-04-06T18:45:11.347121Z,2026-04-06T18:45:00Z,2026-04-06T18:45:00Z,active,2026-04-06 14:30:05,2026-04-06 14:45:06,60,kalshi_api
KXBTC15M-26APR061500-00,yes,finalized,2026-04-06T19:00:11.28695Z,2026-04-06T19:00:00Z,2026-04-06T19:00:00Z,active,2026-04-06 14:45:21,2026-04-06 15:00:08,60,kalshi_api
KXBTC15M-26APR061515-15,no,finalized,2026-04-06T19:15:11.486325Z,2026-04-06T19:15:00Z,2026-04-06T19:15:00Z,active,2026-04-06 15:00:21,2026-04-06 15:15:25,61,kalshi_api
KXBTC15M-26APR061530-30,yes,finalized,2026-04-06T19:30:11.333276Z,2026-04-06T19:30:00Z,2026-04-06T19:30:00Z,active,2026-04-06 15:15:36,2026-04-06 15:29:57,58,kalshi_api
KXBTC15M-26APR061545-45,no,finalized,2026-04-06T19:45:11.286712Z,2026-04-06T19:45:00Z,2026-04-06T19:45:00Z,active,2026-04-06 15:30:06,2026-04-06 15:45:13,61,kalshi_api
KXBTC15M-26APR061600-00,no,finalized,2026-04-06T20:00:11.284983Z,2026-04-06T20:00:00Z,2026-04-06T20:00:00Z,active,2026-04-06 15:45:21,2026-04-06 16:00:15,60,kalshi_api
KXBTC15M-26APR061615-15,no,finalized,2026-04-06T20:15:11.343203Z,2026-04-06T20:15:00Z,2026-04-06T20:15:00Z,active,2026-04-06 16:00:21,2026-04-06 16:15:32,61,kalshi_api
KXBTC15M-26APR061630-30,yes,finalized,2026-04-06T20:30:11.284424Z,2026-04-06T20:30:00Z,2026-04-06T20:30:00Z,active,2026-04-06 16:15:36,2026-04-06 16:30:34,60,kalshi_api
KXBTC15M-26APR061645-45,no,finalized,2026-04-06T20:45:11.337587Z,2026-04-06T20:45:00Z,2026-04-06T20:45:00Z,active,2026-04-06 16:30:36,2026-04-06 16:45:06,58,kalshi_api
KXBTC15M-26APR061700-00,no,finalized,2026-04-06T21:00:11.38465Z,2026-04-06T21:00:00Z,2026-04-06T21:00:00Z,active,2026-04-06 16:45:06,2026-04-06 17:00:12,60,kalshi_api
KXBTC15M-26APR061715-15,no,finalized,2026-04-06T21:15:11.383886Z,2026-04-06T21:15:00Z,2026-04-06T21:15:00Z,active,2026-04-06 17:00:21,2026-04-06 21:00:23,2,kalshi_api
KXBTC15M-26APR062115-15,no,determined,,2026-04-07T01:15:00Z,2026-04-07T01:15:00Z,active,2026-04-06 21:00:25,2026-04-06 21:15:10,59,kalshi_api
KXBTC15M-26APR062130-30,yes,finalized,2026-04-07T01:30:11.289648Z,2026-04-07T01:30:00Z,2026-04-07T01:30:00Z,active,2026-04-06 21:15:21,2026-04-06 21:41:39,18,kalshi_api
KXBTC15M-26APR062145-45,no,finalized,2026-04-07T01:45:11.30135Z,2026-04-07T01:45:00Z,2026-04-07T01:45:00Z,active,2026-04-06 21:41:44,2026-04-06 21:45:25,15,kalshi_api
KXBTC15M-26APR062200-00,no,finalized,2026-04-07T02:00:11.390051Z,2026-04-07T02:00:00Z,2026-04-07T02:00:00Z,active,2026-04-06 21:45:36,2026-04-06 22:00:27,60,kalshi_api
KXBTC15M-26APR062215-15,no,finalized,2026-04-07T02:15:11.345649Z,2026-04-07T02:15:00Z,2026-04-07T02:15:00Z,active,2026-04-06 22:00:36,2026-04-06 22:15:29,60,kalshi_api
KXBTC15M-26APR062230-30,yes,finalized,2026-04-07T02:30:11.345224Z,2026-04-07T02:30:00Z,2026-04-07T02:30:00Z,active,2026-04-06 22:15:35,2026-04-06 22:30:03,58,kalshi_api
KXBTC15M-26APR062245-45,,active,,2026-04-07T02:45:00Z,2026-04-07T02:45:00Z,active,2026-04-06 22:30:06,2026-04-06 22:35:50,23,kalshi_api
